procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   1836 194920 436560 2405756    0    0     1     6   10    1  0  1 99  0  0
 0  0   1836 194952 436564 2405736    0    0     0    76  568 1141  1  1 98  0  0
 1  0   1836 194952 436564 2405736    0    0     0     0  586 1223  2  1 97  0  0
 2  0   1836 194952 436564 2405736    0    0     0     0  593 1169  1  2 97  0  0
 0  0   1836 194952 436564 2405736    0    0     0   160  623 1214  0  1 99  0  0
 0  0   1836 194952 436564 2405736    0    0     0     0  630 1290  0  1 99  0  0
 0  0   1836 194828 436568 2405712    0    0     0    72  555 1134  0  1 99  0  0
 0  0   1836 194828 436568 2405712    0    0     0     0  530 1070  0  1 99  0  0
 0  0   1836 194828 436568 2405712    0    0     0     0  539 1132  1  1 98  0  0
 0  0   1836 194828 436568 2405712    0    0     0    80  566 1195  0  2 98  0  0
 0  0   1836 194828 436568 2405708    0    0     0     0  553 1172  1  1 98  0  0
 0  0   1836 194704 436568 2405712    0    0     0    80  509 1106  0  1 98  0  0
 0  0   1836 194704 436568 2405712    0    0     0     0  543 1193  0  1 99  0  0
 0  0   1836 194704 436568 2405712    0    0     0     0  535 1153  0  1 99  0  0
 0  0   1836 194704 436568 2405712    0    0     0     0  565 1205  0  1 99  0  0
 0  0   1836 194704 436568 2405712    0    0     0     0  547 1149  1  1 98  0  0
 0  0   1836 194704 436568 2405712    0    0     0    60  539 1141  0  1 99  0  0
 0  0   1836 194704 436568 2405712    0    0     0     0  500 1078  0  1 99  0  0
 1  0   1836 194704 436572 2405708    0    0     0    92  680 1351  0  1 99  0  0
 0  0   1836 194580 436572 2405742    0    0     0   104  608 1271  0  1 99  0  0
 0  0   1836 194580 436572 2405742    0    0     0     0  649 1323  1  2 98  0  0
 0  0   1836 194580 436572 2405742    0    0     0    80  612 1205  1  1 98  0  0
 0  0   1836 194580 436572 2405742    0    0     0     0  537 1108  0  1 99  0  0
 0  0   1836 194580 436572 2405712    0    0     0     0  551 1178  0  2 98  0  0
 0  0   1836 194580 436572 2405716    0    0     0     0  594 1224  1  1 98  0  0
